before,after
yng,yang
knp,kenapa
knpa,kenapa
sampe,sampai
smpai,sampai
smpe,sampai
sy,saya
sya,saya
lu,kamu
kmu,kamu
jngn,jangan
jgn,jangan
tdk,tidak
tdak,tidak
bener,benar
bner,benar
krn,karena
krna,karena
td,tadi
mlam,malam
gw,saya
gue,saya
jangn,jangan
kgk,kagak
bal,bali
ajaaaaa,aja
ntn,nonton
lgi,lagi
lgi,lagi
yaaaa,yang
gblg,goblok
pemrintah,pemerintah
ttp,tetap
bodetabek,jabodetabek
asw,asu
udh,udah
kmrn,kemarin
ekonom,ekonomi
junjunga,junjungan
istil,istilah
janua,januari
perna,pernah
sm,sama
bsok,besok
pssbb,psbb
ak,aku
prna,pernah
bangat,banget
bln,bulan
hmpir,hampir
gaprna,gapernah
ktemu,ketemu
yauda,yaudah
emg,emang
jkt,jakarta
cvd,covid
msih,masih
bnrn,beneran
smpe,sampai
psb,psbb
gua,gue
kenceeeeng,kencang
smpai,sampai
tgl,tanggal
nant,nanti
mles,malas
pny,punya
syg,sayang
thn,tahun
tng,tangerang
tmpt,tempat
anjg,anjing
bdg,bandung
anj,anjing
karna,karena
lagiii,lagi
sby,surabaya
mlg,malang
hihhhhhh,hih
perhati,perhatikan
setop,stop
liha,lihat
boosss,bos
sblmnya,sebelumnya
hppy,happy
slese,selesai
tpi,tapi
bgiin,bagiin
dket,deket
kyk,seperti
stress,stres
yekan,yakan
mlihat,melihat
bsk,besok
beroprasi,beroperasi
bagaiman,bagaimana
inget,ingat
kmna,kemana
orng,orang
gais,guys
pemirsaahh,pemirsa
eaaa,ya
banged,banget
bangett,banget
jmlah,jumlah
penu,penuh
mengkawatirkan,mengkhawatirkan
siappaaa,siapa
yaaakk,yakan
bange,banget
yodah,yaudah
pgn,pengen
besa,besar
ape,apa
sekaliny,sekalinya
rmh,rumah
kluar,keluar
mayan,lumayan
dipake,dipakai
teredia,tersedia
rekomen,rekomendasi
buanyak,banyak
kyknya,sepertinya
trs,terus
ap,apa
yaaaaa,ya
uda,udah
semuaa,semua
ktnya,katanya
sampek,sampai
bukak,buka
anying,anjing
yaampunn,yaampun
dprd,daripada
egk,tidak
ttp,tetap
kesehata,kesehatan
pakk,bapak
tlp,telepon
mangat,semangat
mangaaattt,semangat
sempet,sempat
sklh,sekolah
klsnya,kelasnya
iniii,ini
padet,padat
ruma,rumah
pake,pakai
tetep,tetap
pagiii,pagi
grgr,gara-gara
gegara,gara-gara
ngak,tidak
skuy,ayo
skuyy,ayo
kuy,ayo
skrg,sekarang
takde,tidak ada
mainn,main
aplg,apalagi
utk,untuk
slamat,selamat
cus,pergi
masi,masih
sbg,sebagai
tsb,tersebut
bangeeetttt,banget
daaann,dan
pling,paling
tpi,tapi
plann,rencana
blm,belum
bs,bisa
rese,ganggu
jgn,juga
pdhl,padahal
sampe,sampai
ttup,tutup
gada,tidak ada
moga,semoga
pnya,punya
rame,ramai
bsk,besok
yamg,yang
mnurut,menurut
sdh,sudah
akn,akan
ttp,tetap
dtg,datang
slama,selamat
disuru,disuruh
dimulau,dimulai
cape,capek
dket,dekat
dkt,dekat
skrg,sekarang
dkmana,dimana
blg,bilang
pamarentah,pemerintah
bole,boleh
laksankan,laksanakan
ttapi,tetapi
klo,kalau
gimano,gimana
aktivts,aktivitas
sekarng,sekarang
maren,kemarin
sebellll,sebal
dfahami,dipahami
adlh,adalah
mnghdpi,menghadapi
msyrkt,masyarakat
nnti,nanti
sndri,sendiri
warg,warga
dlm,dalam
pemrintah,pemerintah
konta,kontak
mrk,mereka
drmh,dirumah
diem,diam
tugad,tugas
bnget,banget
skrgkan,sekarang
tsbt,tersebut
ga,tidak
gaje,tidak jelas
rb,ribu
yg,yang
smoga,semoga
indobesia,indonesia
betull,betul
jt,juta
org,orang
iyah,iya
mo,mau
naek,naik
gak,tidak
loe,kamu
mkanya,mangkanya
bnyak,banyak
jdi,jadi
gk,tidak
trus,terus
prnah,pernah
ngk,nggak
dgn,dengan
ttgga,tetangga
rkyat,rakyat
bkn,bukan
mnjajah,menjajah
jokewi,jokowi
trims,terimakasih
bpk,bapak
y,iya
ya,iya
jkw,jokowi
bgs,bagus
dak,tidak
hi,hai
dunk,dong
smp,sampai
msh,masih
ngimpii,ngimpi
elu,kamu
vs,melawan
ente,kamu
dobolll,dobel
ni,ini
hbis,habis
sdah,sudah
jg,juga
bwtul,betul
suangat,sangat
lbh,lebih
btl,betul
sd,sampai
n,dan
sgt,sangat
stuju,setuju
klw.kalau
gajih,gaji
skali,sekali
yaa,iya
smua,semua
ngga,tidak
wng,wong
klnger,klenger
b,betul
mmng,memang
